[1.e+08 1.e-44]
[9.72364553e+07 8.19745143e-45]
[9.72480722e+07 7.34987138e-45]
[9.65870154e+07 7.10909379e-45]
[9.65870154e+07 7.10909379e-45]
[9.65870154e+07 7.10909379e-45]
[9.43558352e+07 6.37460822e-45]
[9.51997411e+07 4.19883064e-45]
[9.42856086e+07 3.58439027e-45]
[9.23737032e+07 2.89669896e-45]
[8.99195887e+07 1.64773247e-45]
[8.99195887e+07 1.64773247e-45]
[8.86593741e+07 1.19059247e-45]
[8.86593741e+07 1.19059247e-45]
[8.86593741e+07 1.19059247e-45]
[8.86593741e+07 1.19059247e-45]
[8.48565543e+07 5.91228711e-46]
[8.54729228e+07 5.27039230e-46]
[8.54729228e+07 5.27039230e-46]
[8.40811327e+07 4.03187506e-46]
[8.40811327e+07 4.03187506e-46]
[8.40811327e+07 4.03187506e-46]
[8.70410947e+07 3.54503564e-46]
[8.53980859e+07 3.45233799e-46]
[8.07058657e+07 2.65370186e-46]
[8.07058657e+07 2.65370186e-46]
[8.07058657e+07 2.65370186e-46]
[8.07058657e+07 2.65370186e-46]
[8.07058657e+07 2.65370186e-46]
[7.95671081e+07 1.88341497e-46]
[8.15435477e+07 1.51427836e-46]
[8.48501692e+07 1.02015141e-46]
[8.48501692e+07 1.02015141e-46]
[8.48501692e+07 1.02015141e-46]
[8.55266383e+07 8.79671926e-47]
[8.38018008e+07 6.99010760e-47]
[8.38018008e+07 6.99010760e-47]
[8.38018008e+07 6.99010760e-47]
[8.42207212e+07 6.18222892e-47]
[8.42207212e+07 6.18222892e-47]
[8.42207212e+07 6.18222892e-47]
[8.42207212e+07 6.18222892e-47]
[8.38932148e+07 4.03154877e-47]
[8.47679144e+07 3.84229976e-47]
[8.47679144e+07 3.84229976e-47]
[8.47679144e+07 3.84229976e-47]
[8.47679144e+07 3.84229976e-47]
[8.47679144e+07 3.84229976e-47]
[8.45340068e+07 2.10792227e-47]
[8.45340068e+07 2.10792227e-47]
[8.43868995e+07 1.51844461e-47]
[8.29591568e+07 1.44617625e-47]
[8.29591568e+07 1.44617625e-47]
[8.17329241e+07 1.38548735e-47]
[8.17329241e+07 1.38548735e-47]
[8.17329241e+07 1.38548735e-47]
[8.25914321e+07 1.23648973e-47]
[8.25914321e+07 1.23648973e-47]
[8.18488348e+07 1.12005761e-47]
[8.32319981e+07 8.65048124e-48]
[8.49489474e+07 6.67411376e-48]
[8.79201736e+07 6.07878814e-48]
