[1.e+08 1.e-44]
[1.00973618e+08 8.49582483e-45]
[1.00416026e+08 6.46246641e-45]
[1.00416026e+08 6.46246641e-45]
[1.00416026e+08 6.46246641e-45]
[1.00113797e+08 8.71102911e-45]
[9.94100619e+07 6.92448886e-45]
[9.94100619e+07 6.92448886e-45]
[9.94100619e+07 6.92448886e-45]
[9.66507420e+07 5.48582691e-45]
[9.70378773e+07 5.56621612e-45]
[9.80874510e+07 5.00049402e-45]
[9.80874510e+07 5.00049402e-45]
[9.90434613e+07 4.29843012e-45]
[9.93799646e+07 4.08347450e-45]
[1.00475411e+08 5.47282542e-45]
[1.00475411e+08 5.47282542e-45]
[1.01416138e+08 5.28535174e-45]
[1.01416138e+08 5.28535174e-45]
[1.01416138e+08 5.28535174e-45]
[1.02145884e+08 4.88550339e-45]
[1.02145884e+08 4.88550339e-45]
[1.02145884e+08 4.88550339e-45]
[1.03265591e+08 4.48911323e-45]
[1.03265591e+08 4.48911323e-45]
[1.02907233e+08 5.21605846e-45]
[1.03640103e+08 4.05970441e-45]
[1.04611693e+08 3.03987164e-45]
[1.04611693e+08 3.03987164e-45]
[1.03924618e+08 2.41635443e-45]
[1.02918146e+08 2.64193031e-45]
[1.02898404e+08 2.10512510e-45]
[1.02898404e+08 2.10512510e-45]
[1.04285870e+08 2.06953953e-45]
[1.04285870e+08 2.06953953e-45]
[1.04421850e+08 2.34258335e-45]
[1.04351688e+08 2.02253958e-45]
[1.04351688e+08 2.02253958e-45]
[1.04351688e+08 2.02253958e-45]
[1.03198200e+08 1.97839643e-45]
[1.03134429e+08 1.84659766e-45]
[1.03465879e+08 1.77416677e-45]
[1.03339223e+08 1.42752137e-45]
[1.0401949e+08 1.3990974e-45]
[1.0401949e+08 1.3990974e-45]
[1.03700652e+08 1.14286260e-45]
[1.03700652e+08 1.14286260e-45]
[1.04982956e+08 8.73845749e-46]
[1.04982956e+08 8.73845749e-46]
[1.04982956e+08 8.73845749e-46]
[1.04091945e+08 1.26224700e-45]
[1.04091945e+08 1.26224700e-45]
[1.03062888e+08 1.19473235e-45]
[1.03062888e+08 1.19473235e-45]
[1.03062888e+08 1.19473235e-45]
[1.03792214e+08 1.20017749e-45]
[1.03792214e+08 1.20017749e-45]
[1.05144941e+08 9.82996270e-46]
[1.04690763e+08 8.02165532e-46]
[1.04690763e+08 8.02165532e-46]
[1.04894011e+08 8.66871277e-46]
[1.04894011e+08 8.66871277e-46]
[1.04894011e+08 8.66871277e-46]
[1.05385768e+08 8.11106648e-46]
[1.04332565e+08 7.69022906e-46]
[1.05625343e+08 1.18315382e-45]
[1.05625343e+08 1.18315382e-45]
[1.05625343e+08 1.18315382e-45]
[1.05625343e+08 1.18315382e-45]
[1.05625343e+08 1.18315382e-45]
[1.06126296e+08 1.01707310e-45]
[1.06126296e+08 1.01707310e-45]
[1.06160651e+08 8.05430451e-46]
[1.06160651e+08 8.05430451e-46]
[1.06160651e+08 8.05430451e-46]
[1.07568330e+08 9.51711652e-46]
[1.07568330e+08 9.51711652e-46]
[1.08372023e+08 9.48272442e-46]
[1.09289969e+08 9.36062341e-46]
[1.09657990e+08 7.82640161e-46]
[1.10887009e+08 9.43167030e-46]
[1.10887009e+08 9.43167030e-46]
[1.10887009e+08 9.43167030e-46]
[1.11922480e+08 8.43511872e-46]
[1.11922480e+08 8.43511872e-46]
[1.12668723e+08 1.12462345e-45]
[1.12668723e+08 1.12462345e-45]
[1.13770400e+08 9.68949453e-46]
[1.13770400e+08 9.68949453e-46]
[1.13770400e+08 9.68949453e-46]
[1.13662490e+08 1.02198386e-45]
[1.13662490e+08 1.02198386e-45]
[1.13662490e+08 1.02198386e-45]
[1.13550124e+08 9.77088164e-46]
[1.12509285e+08 9.39639745e-46]
[1.12029215e+08 9.75799489e-46]
[1.13572555e+08 8.51102130e-46]
[1.13815778e+08 7.27598047e-46]
[1.13815778e+08 7.27598047e-46]
[1.15390041e+08 4.75246143e-46]
[1.15362911e+08 5.45773408e-46]
[1.15362911e+08 5.45773408e-46]
[1.15311848e+08 4.83010084e-46]
[1.13406700e+08 4.50442934e-46]
[1.13406700e+08 4.50442934e-46]
[1.13104136e+08 4.86433619e-46]
[1.13104136e+08 4.86433619e-46]
[1.12579042e+08 4.32523435e-46]
[1.12579042e+08 4.32523435e-46]
[1.12579042e+08 4.32523435e-46]
[1.12700154e+08 6.30995829e-46]
[1.12700154e+08 6.30995829e-46]
[1.12656892e+08 5.42382719e-46]
[1.12656892e+08 5.42382719e-46]
[1.12656892e+08 5.42382719e-46]
[1.12869803e+08 5.71689879e-46]
[1.12869803e+08 5.71689879e-46]
[1.12869803e+08 5.71689879e-46]
[1.13775060e+08 5.40102401e-46]
[1.12690069e+08 4.65399393e-46]
[1.10957707e+08 4.60257880e-46]
[1.10957707e+08 4.60257880e-46]
[1.10957707e+08 4.60257880e-46]
[1.12272314e+08 2.70682051e-46]
[1.12272314e+08 2.70682051e-46]
[1.13049741e+08 3.47945792e-46]
[1.13049741e+08 3.47945792e-46]
[1.13622273e+08 2.79697726e-46]
[1.13883715e+08 2.59827619e-46]
[1.13883715e+08 2.59827619e-46]
[1.13714355e+08 2.36793707e-46]
[1.13714355e+08 2.36793707e-46]
[1.13714355e+08 2.36793707e-46]
[1.14155843e+08 1.75421787e-46]
[1.14155843e+08 1.75421787e-46]
[1.13217409e+08 2.39566777e-46]
[1.13217409e+08 2.39566777e-46]
[1.14555207e+08 2.01347943e-46]
[1.14555207e+08 2.01347943e-46]
[1.14555207e+08 2.01347943e-46]
[1.14586959e+08 1.93213489e-46]
[1.14586959e+08 1.93213489e-46]
[1.14586959e+08 1.93213489e-46]
[1.14489616e+08 1.46610127e-46]
[1.14489616e+08 1.46610127e-46]
[1.13361555e+08 1.65056968e-46]
[1.14201370e+08 1.29137722e-46]
[1.14201370e+08 1.29137722e-46]
[1.14201370e+08 1.29137722e-46]
[1.14039340e+08 1.07469277e-46]
[1.12868572e+08 9.58802012e-47]
[1.12709700e+08 7.95120699e-47]
[1.11601728e+08 5.82293414e-47]
[1.11601728e+08 5.82293414e-47]
[1.10703331e+08 5.53565613e-47]
[1.13288034e+08 5.50202677e-47]
[1.14307075e+08 4.73616025e-47]
[1.14307075e+08 4.73616025e-47]
[1.14307075e+08 4.73616025e-47]
[1.14407237e+08 3.26813607e-47]
[1.13921254e+08 3.63518628e-47]
[1.15772938e+08 3.51364990e-47]
[1.15772938e+08 3.51364990e-47]
[1.15911061e+08 3.33326338e-47]
[1.15911061e+08 3.33326338e-47]
[1.18072080e+08 2.77211888e-47]
[1.18072080e+08 2.77211888e-47]
[1.18072080e+08 2.77211888e-47]
[1.18072080e+08 2.77211888e-47]
[1.19350022e+08 2.72045286e-47]
[1.19865370e+08 2.41352181e-47]
[1.19621342e+08 2.29144084e-47]
[1.21174569e+08 2.05468681e-47]
[1.20240876e+08 1.67794627e-47]
[1.20240876e+08 1.67794627e-47]
[1.22193309e+08 2.24389066e-47]
[1.22193309e+08 2.24389066e-47]
[1.22193309e+08 2.24389066e-47]
[1.22220907e+08 2.02883324e-47]
[1.22220907e+08 2.02883324e-47]
[1.22666235e+08 2.20745055e-47]
[1.22840388e+08 2.17145442e-47]
[1.23208111e+08 1.21026514e-47]
[1.23208111e+08 1.21026514e-47]
[1.23208111e+08 1.21026514e-47]
[1.22633404e+08 1.04752124e-47]
[1.22633404e+08 1.04752124e-47]
[1.21375035e+08 1.04028932e-47]
[1.21375035e+08 1.04028932e-47]
[1.21375035e+08 1.04028932e-47]
[1.21542460e+08 1.20781325e-47]
[1.21542460e+08 1.20781325e-47]
[1.21542460e+08 1.20781325e-47]
[1.21542460e+08 1.20781325e-47]
[1.21542460e+08 1.20781325e-47]
[1.20935173e+08 1.38091257e-47]
[1.19871602e+08 1.33702776e-47]
[1.20047173e+08 1.01564009e-47]
[1.22058009e+08 1.26303618e-47]
[1.22058009e+08 1.26303618e-47]
[1.22402999e+08 1.57089269e-47]
[1.22402999e+08 1.57089269e-47]
[1.21868052e+08 1.17221587e-47]
[1.21868052e+08 1.17221587e-47]
[1.21868052e+08 1.17221587e-47]
[1.22422413e+08 1.16983506e-47]
[1.22422413e+08 1.16983506e-47]
[1.21529989e+08 1.16758585e-47]
[1.21529989e+08 1.16758585e-47]
[1.21529989e+08 1.16758585e-47]
[1.20545695e+08 1.34115171e-47]
[1.20073635e+08 1.04391439e-47]
[1.20073635e+08 1.04391439e-47]
[1.20073635e+08 1.04391439e-47]
[1.20583929e+08 1.11899278e-47]
[1.21281227e+08 8.56191179e-48]
[1.20504009e+08 1.07164657e-47]
[1.20504009e+08 1.07164657e-47]
[1.20284466e+08 1.12039383e-47]
[1.20284466e+08 1.12039383e-47]
[1.20824731e+08 1.97336017e-47]
[1.20175032e+08 1.61564445e-47]
[1.17982431e+08 1.48023469e-47]
[1.17846451e+08 1.31466088e-47]
[1.17846451e+08 1.31466088e-47]
[1.16312652e+08 1.75053700e-47]
[1.16093932e+08 1.25619091e-47]
[1.16093932e+08 1.25619091e-47]
[1.16093932e+08 1.25619091e-47]
[1.17833365e+08 1.14617762e-47]
[1.18442635e+08 1.15487580e-47]
[1.18442635e+08 1.15487580e-47]
[1.18442635e+08 1.15487580e-47]
[1.18442635e+08 1.15487580e-47]
[1.18442635e+08 1.15487580e-47]
[1.18567692e+08 9.49481982e-48]
[1.18567692e+08 9.49481982e-48]
[1.18567692e+08 9.49481982e-48]
[1.18567692e+08 9.49481982e-48]
[1.18567692e+08 9.49481982e-48]
[1.18128346e+08 1.27116865e-47]
[1.18128346e+08 1.27116865e-47]
[1.18128346e+08 1.27116865e-47]
[1.17984586e+08 1.20722787e-47]
[1.15493692e+08 1.17248497e-47]
[1.17941198e+08 1.16711736e-47]
[1.17941198e+08 1.16711736e-47]
[1.17941198e+08 1.16711736e-47]
[1.17941198e+08 1.16711736e-47]
[1.17873198e+08 1.14111068e-47]
[1.16849569e+08 1.05373764e-47]
[1.16849569e+08 1.05373764e-47]
[1.15537072e+08 1.05913413e-47]
[1.15537072e+08 1.05913413e-47]
[1.15537072e+08 1.05913413e-47]
[1.15722315e+08 1.19722743e-47]
[1.15722315e+08 1.19722743e-47]
[1.15722315e+08 1.19722743e-47]
[1.16614028e+08 1.18231178e-47]
[1.16614028e+08 1.18231178e-47]
[1.16059611e+08 9.93281911e-48]
[1.15679920e+08 1.08435683e-47]
[1.15679920e+08 1.08435683e-47]
[1.15679920e+08 1.08435683e-47]
[1.15679920e+08 1.08435683e-47]
[1.13065507e+08 1.03638863e-47]
[1.13065507e+08 1.03638863e-47]
[1.13435912e+08 1.07986460e-47]
[1.13435912e+08 1.07986460e-47]
[1.13435912e+08 1.07986460e-47]
[1.11594867e+08 1.33075380e-47]
[1.10687381e+08 1.18949822e-47]
[1.10687381e+08 1.18949822e-47]
[1.10687381e+08 1.18949822e-47]
[1.10062896e+08 1.16843504e-47]
[1.08846976e+08 1.51656217e-47]
[1.08797817e+08 1.40742174e-47]
[1.08797817e+08 1.40742174e-47]
[1.08797817e+08 1.40742174e-47]
[1.08797817e+08 1.40742174e-47]
[1.09110521e+08 1.50328430e-47]
[1.09110521e+08 1.50328430e-47]
[1.09506018e+08 1.24519223e-47]
[1.09506018e+08 1.24519223e-47]
[1.08413637e+08 1.20833989e-47]
[1.08948776e+08 1.20864227e-47]
[1.08948776e+08 1.20864227e-47]
[1.08948776e+08 1.20864227e-47]
[1.08948776e+08 1.20864227e-47]
[1.08948776e+08 1.20864227e-47]
[1.11269851e+08 1.40517849e-47]
[1.11557962e+08 1.36556063e-47]
[1.10818775e+08 1.29051866e-47]
[1.10818775e+08 1.29051866e-47]
[1.09953886e+08 1.24262757e-47]
[1.09971857e+08 1.04645609e-47]
[1.09971857e+08 1.04645609e-47]
[1.09971857e+08 1.04645609e-47]
[1.09971857e+08 1.04645609e-47]
[1.09971857e+08 1.04645609e-47]
[1.11640744e+08 1.05907577e-47]
[1.11640744e+08 1.05907577e-47]
[1.11640744e+08 1.05907577e-47]
[1.11640744e+08 1.05907577e-47]
[1.11640744e+08 1.05907577e-47]
[1.13013995e+08 1.12923190e-47]
[1.13013995e+08 1.12923190e-47]
[1.13013995e+08 1.12923190e-47]
[1.13013995e+08 1.12923190e-47]
[1.13013995e+08 1.12923190e-47]
[1.12797578e+08 1.94145599e-47]
[1.12797578e+08 1.94145599e-47]
[1.12797578e+08 1.94145599e-47]
[1.12797578e+08 1.94145599e-47]
[1.11713207e+08 1.87583351e-47]
[1.12203165e+08 1.52260231e-47]
[1.12203165e+08 1.52260231e-47]
[1.12203165e+08 1.52260231e-47]
[1.12538427e+08 1.35504809e-47]
[1.11392743e+08 1.31920210e-47]
[1.10071810e+08 1.33286847e-47]
[1.11544815e+08 9.75335998e-48]
[1.11422335e+08 1.16355171e-47]
[1.11422335e+08 1.16355171e-47]
[1.11422335e+08 1.16355171e-47]
[1.11535126e+08 1.17024217e-47]
[1.12114502e+08 1.06756539e-47]
[1.12114502e+08 1.06756539e-47]
[1.12114502e+08 1.06756539e-47]
[1.12114502e+08 1.06756539e-47]
[1.11379385e+08 1.70739858e-47]
[1.12769701e+08 1.20128420e-47]
[1.12509532e+08 1.06973545e-47]
[1.12509532e+08 1.06973545e-47]
[1.12509532e+08 1.06973545e-47]
[1.14469057e+08 1.46687814e-47]
[1.16586392e+08 1.03712049e-47]
[1.16586392e+08 1.03712049e-47]
[1.16468230e+08 1.05975095e-47]
[1.16468230e+08 1.05975095e-47]
[1.16530703e+08 1.11510312e-47]
[1.16530703e+08 1.11510312e-47]
[1.16530703e+08 1.11510312e-47]
[1.16530703e+08 1.11510312e-47]
[1.16530703e+08 1.11510312e-47]
[1.15638850e+08 1.35862178e-47]
[1.15638850e+08 1.35862178e-47]
[1.16520712e+08 1.22989772e-47]
[1.16520712e+08 1.22989772e-47]
[1.16520712e+08 1.22989772e-47]
[1.17154064e+08 1.43475626e-47]
[1.17154064e+08 1.43475626e-47]
[1.17399239e+08 1.26507470e-47]
[1.17399239e+08 1.26507470e-47]
[1.17399239e+08 1.26507470e-47]
[1.17586304e+08 1.56580439e-47]
[1.17565409e+08 1.30330661e-47]
[1.17565409e+08 1.30330661e-47]
[1.17565409e+08 1.30330661e-47]
[1.18264560e+08 1.24325577e-47]
[1.16927080e+08 1.19287805e-47]
[1.16927080e+08 1.19287805e-47]
[1.16927080e+08 1.19287805e-47]
[1.16927080e+08 1.19287805e-47]
[1.16962399e+08 1.09757234e-47]
[1.18020491e+08 1.11646353e-47]
[1.18020491e+08 1.11646353e-47]
[1.18020491e+08 1.11646353e-47]
[1.18020491e+08 1.11646353e-47]
[1.18020491e+08 1.11646353e-47]
[1.17513340e+08 1.02899052e-47]
[1.17513340e+08 1.02899052e-47]
[1.16201632e+08 1.07531458e-47]
[1.16201632e+08 1.07531458e-47]
[1.16201632e+08 1.07531458e-47]
[1.15241685e+08 8.44554982e-48]
[1.17120438e+08 8.86145386e-48]
[1.16998537e+08 9.68057879e-48]
[1.15229099e+08 1.00643365e-47]
[1.15229099e+08 1.00643365e-47]
[1.14035632e+08 9.17870511e-48]
[1.14035632e+08 9.17870511e-48]
[1.14035632e+08 9.17870511e-48]
[1.13697026e+08 9.55716596e-48]
[1.13697026e+08 9.55716596e-48]
[1.13780458e+08 1.36447451e-47]
[1.13030180e+08 1.32875615e-47]
[1.13030180e+08 1.32875615e-47]
[1.13030180e+08 1.32875615e-47]
[1.13030180e+08 1.32875615e-47]
[1.12111087e+08 1.26523851e-47]
[1.14417681e+08 1.05053338e-47]
[1.14417681e+08 1.05053338e-47]
[1.14417681e+08 1.05053338e-47]
[1.14417681e+08 1.05053338e-47]
[1.12722633e+08 8.77768446e-48]
[1.11412794e+08 8.70052701e-48]
[1.11412794e+08 8.70052701e-48]
[1.11061192e+08 1.03015210e-47]
[1.12272245e+08 1.13454206e-47]
[1.14020860e+08 8.80140897e-48]
[1.14020860e+08 8.80140897e-48]
[1.14147741e+08 1.08842849e-47]
[1.14147741e+08 1.08842849e-47]
[1.14147741e+08 1.08842849e-47]
[1.12705506e+08 1.55770982e-47]
[1.14700761e+08 1.48322634e-47]
